asset_id,shot_id,status,file_name,file_path,file_size_bytes,chinese_tags,source_platform,source_url,download_url,license,visual_match_reason,quality_notes
shot_001_asset_01,001,needs_user_license_followup,shot_001_摩尔定律_GordonMoore_01_ScienceHistory片段.ts,02_assets/shot_001_摩尔定律_GordonMoore_视频/shot_001_摩尔定律_GordonMoore_01_ScienceHistory片段.ts,25036148,摩尔定律；Gordon Moore；科技史,Science History Institute Digital Collections,https://digital.sciencehistory.org/works/u6dnmj7,https://d2wxoyqt1kxdpi.cloudfront.net/hls/6f89d68c-74cc-4368-bddf-e4f512607fee/14bc58db9a223f6d1dad67c3c3e94cdf/hls_low.m3u8,In Copyright / needs_user_license_followup,摩尔定律40周年相关真实视频片段，能作为开场建立旧规则和Gordon Moore语境。,已下载HLS前段TS片段；后续剪辑可按需要转码或继续拉取完整HLS。
shot_001_reference_02,001,reference_only,shot_001_摩尔定律_戈登摩尔访谈_01_计算机历史博物馆_YouTube参考.txt,02_assets/shot_001_摩尔定律_戈登摩尔访谈/shot_001_摩尔定律_戈登摩尔访谈_01_计算机历史博物馆_YouTube参考.txt,428,摩尔定律；戈登摩尔；访谈,Computer History Museum / YouTube reference,https://computerhistory.org/events/40th-anniversary-moores-law-with/,,reference_only / needs_user_license_followup,Gordon Moore与摩尔定律40周年访谈参考，供后续授权下载或人工替换。,参考链接，不计入可剪辑视频素材。
shot_002_asset_01,002,download_ok,shot_002_芯片缩小_晶体管_性能_01.webm,02_assets/shot_002_芯片缩小_晶体管_性能/shot_002_芯片缩小_晶体管_性能_01.webm,45036874,芯片缩小；晶体管；性能,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Zoom_Into_a_Microchip.webm,https://upload.wikimedia.org/wikipedia/commons/a/a5/Zoom_Into_a_Microchip.webm,CC BY 3.0,芯片逐级放大到微结构，适合解释芯片越做越小、晶体管越塞越多。,独立视频素材；文件头为WebM。
shot_003_asset_01,003,download_ok,shot_003_美国主导半导体规则_CHIPS法案_01_白宫Biden_CHIPS讲话.webm,02_assets/shot_003_美国主导半导体规则_CHIPS法案/shot_003_美国主导半导体规则_CHIPS法案_01_白宫Biden_CHIPS讲话.webm,442948579,美国；半导体规则；CHIPS法案,Wikimedia Commons / The White House,https://commons.wikimedia.org/wiki/File:President_Biden_Delivers_Remarks_on_the_CHIPS_and_Science_Act.webm,https://upload.wikimedia.org/wikipedia/commons/8/83/President_Biden_Delivers_Remarks_on_the_CHIPS_and_Science_Act.webm,Public domain,白宫CHIPS法案讲话，直接对应美国用先进制程和产业政策主导半导体规则。,独立视频素材；文件头为WebM。
shot_004_asset_01,004,download_ok,shot_004_先进制程_5纳米晶体管_01_IBM_5纳米晶体管.webm,02_assets/shot_004_先进制程_5纳米晶体管/shot_004_先进制程_5纳米晶体管_01_IBM_5纳米晶体管.webm,15947644,先进制程；5纳米；晶体管,Wikimedia Commons / IBM Research,https://commons.wikimedia.org/wiki/File:5_nanometer_transistor_--_how_they_did_it.webm,https://upload.wikimedia.org/wikipedia/commons/f/f4/5_nanometer_transistor_--_how_they_did_it.webm,CC BY 3.0,5纳米晶体管解释视频，精确对应7nm、5nm、3nm、2nm的先进制程竞赛。,独立视频素材；文件头为WebM。
shot_005_asset_01,005,download_ok,shot_005_纳米制程_EUV_光刻_01.webm,02_assets/shot_005_纳米制程_EUV_光刻/shot_005_纳米制程_EUV_光刻_01.webm,9924654,纳米制程；EUV；光刻,Wikimedia Commons / ASML,https://commons.wikimedia.org/wiki/File:How_EUV_lithography_works.webm,https://upload.wikimedia.org/wikipedia/commons/7/7e/How_EUV_lithography_works.webm,CC BY 3.0,EUV光刻解释视频，贴合先进制程越来越贵、越来越难。,独立视频素材；文件头为WebM。
shot_006_asset_01,006,needs_user_license_followup,shot_006_光刻_EDA_晶圆_产业链封锁_01_美国半导体制造_Raimondo.mp4,02_assets/shot_006_光刻_EDA_晶圆_产业链封锁/shot_006_光刻_EDA_晶圆_产业链封锁_01_美国半导体制造_Raimondo.mp4,312157062,美国半导体制造；产业链；Raimondo,C-SPAN StudentCam download / Dropbox,https://www.studentcam.org/downloads/,,needs_user_license_followup,美国商务部长谈半导体制造，贴近光刻、EDA、材料、晶圆制造、产业链协同被制度化控制的语境。,独立视频素材；授权由用户后续补。
shot_007_asset_01,007,needs_user_license_followup,shot_007_美国卡中国芯片_规则封锁_01_计算机芯片产业_Raimondo.mp4,02_assets/shot_007_美国卡中国芯片_规则封锁/shot_007_美国卡中国芯片_规则封锁_01_计算机芯片产业_Raimondo.mp4,188260745,美国；中国芯片；规则封锁,C-SPAN StudentCam download / Dropbox,https://www.studentcam.org/downloads/,,needs_user_license_followup,Raimondo谈计算机芯片产业，适合表达美国卡中国芯片时卡的是规则和产业体系。,独立视频素材；授权由用户后续补。
shot_007_asset_02,007,download_ok,shot_007_规则体系_供应链韧性_白宫峰会_01_Biden半导体供应链峰会.webm,02_assets/shot_007_规则体系_供应链韧性_白宫峰会/shot_007_规则体系_供应链韧性_白宫峰会_01_Biden半导体供应链峰会.webm,252575447,规则体系；供应链韧性；白宫峰会,Wikimedia Commons / The White House,https://commons.wikimedia.org/wiki/File:President_Biden_Joins_the_Virtual_CEO_Summit_on_Semiconductor_and_Supply_Chain_Resilience.webm,https://upload.wikimedia.org/wikipedia/commons/6/6f/President_Biden_Joins_the_Virtual_CEO_Summit_on_Semiconductor_and_Supply_Chain_Resilience.webm,Public domain,白宫半导体供应链韧性CEO峰会，精确表达‘不是某一个点，而是一整套规则/供应链协同’。,独立视频素材；文件头为WebM。
shot_007_asset_03,007,needs_user_license_followup,shot_007_规则体系_芯片资金_国会_01_Warnock芯片资金.mp4,02_assets/shot_007_规则体系_芯片资金_国会/shot_007_规则体系_芯片资金_国会_01_Warnock芯片资金.mp4,201688577,规则体系；芯片资金；国会,C-SPAN StudentCam download / Dropbox,https://www.studentcam.org/downloads/,,needs_user_license_followup,国会议员谈计算机芯片资金，适合补充美国规则体系中的资金与立法维度。,独立视频素材；授权由用户后续补。
